id,clause_number,heading,body,notes,exceptions,level,parent_number,page,codebook
NCC_VOL_3:S2C26,S2C26,Reinforcing for column and beam protection — gypsum-perlite or,gypsum-vermiculite plaster sprayed to contour Surface to be protected 	Reinforcement required if smaller dimension of surface exceeds(mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	450 	450 Non-vertical 	300 	300 Underside 	300 	300 Upper side of a horizontal surface	Not required 	N/A Surface to be protected 	Reinforcement required if smaller dimensions of surface exceeds(mm)	Max spacing of fixings of the mesh to surface (mm) Vertical 	Any size 	450 Non-vertical 	Any size 	300 Undersize 	Any size 	300 Upper side of a horizontal surface	Not required 	N/A,,,2,S2,,NCC_VOL_3
NCC_VOL_3:S2C27,S2C27,Measurement of thickness of column and beam protection,Specification 3 Fire hazard properties Specification 3	Fire hazard properties,,,2,S2,,NCC_VOL_3
NCC_VOL_3:S3C1,S3C1,Scope,Assemblies,,,2,S3,,NCC_VOL_3
NCC_VOL_3:S3C2,S3C2,General requirement,General requirement,,,2,S3,,NCC_VOL_3
NCC_VOL_3:S3C3,S3C3,Form of test,Form of test,,,2,S3,,NCC_VOL_3
NCC_VOL_3:S3C4,S3C4,Test specimens,Test specimens,,,2,S3,,NCC_VOL_3
NCC_VOL_3:S3C5,S3C5,Concession,Concession,,,2,S3,,NCC_VOL_3
NCC_VOL_3:S3C6,S3C6,Smaller specimen permitted,Introduction to this Part This Part explains important concepts on how the NCC must be interpreted and applied. There are certain conventions and approaches that need to be taken into account when using the NCC. This includes interpreting specific language and terms. This is critical to understanding the intended technical and legal meaning of the NCC. This Part also explains the difference between the mandatory Parts of the NCC and the Parts that are only explanatory or guidance in nature. Part A1	Interpreting the NCC Governing Requirements Section B	Water services Part B1	Cold water services Objectives B1O1 Objective Functional Statements B1F1 Cold water supply B1F2 Cold water service B1F3 Fire sprinkler systems Performance Requirements B1P1 Cold water supply B1P2 Velocity B1P3 Access and isolation B1P4 Water efficiency B1P5 Pressure B1P6 Uncontrolled discharge Deemed-to-Satisfy Provisions B1D1 Deemed-to-Satisfy Provisions B1D2 Water efficiency B1D3 General requirements B1D4 Bushfire prone areas B1D5 Cold water fire sprinkler systems B1D6 Top-up lines Part B2	Heated water services Objectives B2O1 Objective Functional Statements B2F1 Heated water supply B2F2 Heated water installations B2F3 Greenhouse gas emissions Performance Requirements B2P1 Heated water supply B2P2 Scald prevention B2P3 Velocity B2P4 Access and isolation B2P5 Pressure relief and temperature limitation B2P6 Legionella control B2P7 Energy use and source B2P8 Temperature B2P9 Pressure B2P10 Uncontrolled discharge B2P11 Water efficiency Verification Methods B2V1 Heated water storage temperature Part B3	Deemed-to-Satisfy Provisions B2D1 Deemed-to-Satisfy Provisions B2D2 Water heater in a heated water supply system B2D3 Layout of taps B2D4 Water efficiency B2D5 Maximum delivery temperature B2D6 Temperature control devices B2D7 Heated water storage B2D8 Legionella control B2D9 General requirements B2D10 Bushfire prone areas B2D11 Solar heated water Non-drinking water services Objectives B3O1 Objective Functional Statements B3F1 Non-drinking water supply B3F2 Non-drinking water installations Performance Requirements B3P1 Non-drinking water supply B3P2 Identification B3P3 Velocity B3P4 Access and isolation B3P5 Pressure B3P6 Uncontrolled discharge B3P7 Water efficiency Deemed-to-Satisfy Provisions B3D1 Deemed-to-Satisfy Provisions B3D2 Distribution of non-drinking water B3D3 General requirements B3D4 Bushfire prone areas B3D5 Water efficiency Part B4	Fire-fighting water services Objectives B4O1 Objective Functional Statements B4F1 Fire-fighting water supply Performance Requirements B4P1 Flow rate and pressure B4P2 Access and isolation B4P3 Fire-fighting water storage B4P4 Uncontrolled discharge Deemed-to-Satisfy Provisions B4D1 Deemed-to-Satisfy Provisions B4D2 General requirements Part B5	B4D3 Fire sprinkler systems B4D4 Fire hydrants B4D5 Fire hose reels B4D6 Bushfire prone areas Cross-connection control Objectives B5O1 Objective Functional Statements B5F1 Design and installation Performance Requirements B5P1 Contamination control Verification Methods B5V1 Determination of individual and zone hazard ratings Deemed-to-Satisfy Provisions B5D1 Deemed-to-Satisfy Provisions B5D2 Drinking water service B5D3 Non-drinking water service B5D4 Fire-fighting water service B5D5 Unprotected water service B5D6 Rainwater Part B6	Rainwater services Objectives B6O1 Objective Functional Statements B6F1 Rainwater service Performance Requirements B6P1 Pressure B6P2 Velocity B6P3 Water efficiency B6P4 Access and isolation B6P5 Identification B6P6 Uncontrolled discharge Deemed-to-Satisfy Provisions B6D1 Deemed-to-Satisfy Provisions B6D2 General requirements B6D3 Identification B6D4 Water efficiency B6D5 Access and isolation B6D6 Bushfire prone areas Part B7	Rainwater storage Objectives B7O1 Objective Functional Statements B7F1 Rainwater storage,,,2,S3,,NCC_VOL_3
NCC_VOL_3:A1G1,A1G1,Scope of NCC Volume One,[New for 2022] NCC Volume One contains the requirements for— (a) all Class 2 to 9 buildings; and (b) access requirements for people with a disability in Class 1b and 10a buildings; and (c) certain Class 10b structures including access requirements for people with a disability in Class 10b swimming pools.,,,2,A1,,NCC_VOL_3
NCC_VOL_3:A1G2,A1G2,Scope of NCC Volume Two,[New for 2022] NCC Volume Two contains the requirements for— (a) Class 1 and 10a buildings(other than access requirements for people with a disability in Class 1b and 10a buildings); and (b) certain Class 10b structures (other than access requirements for people with a disability in Class 10b swimming pools); and (c) Class 10c private bushfire shelters.,,,2,A1,,NCC_VOL_3
NCC_VOL_3:A1G3,A1G3,Scope of NCC Volume Three,"[New for 2022] (1) NCC Volume Three contains technical requirements for the design, construction, installation, replacement, repair, alteration and maintenance for plumbing and drainage systems in new and existing buildings. (2) NCC Volume Three applies to these systems in all classes of buildings whenever plumbing and drainage work is carried out. (3) NCC Volume Three additionally applies to sites where services are designed, constructed, installed, replaced, repaired, altered and maintained independently of buildings. (4) NCC Volume Three applies from the point of connection to the point of discharge.",,,2,A1,,NCC_VOL_3
